reference,city,latitude,longitude,nearest_destination_id,nearest_destination_name
CH - Cham,Cham,47.192352,8.446265,576,Lucerne
CH - Chavannes-De-Bogis,Chavannes-De-Bogis,46.335094,6.161308,578,Geneva
CH - Chavannes-Pres-Renens,Chavannes-Pres-Renens,46.53305,6.575435,23235,Lausanne
CH - Chexbres,Chexbres,46.4814070331054,6.78409000842286,37221,Vevey
CH - Chur,Chur,46.851208415554446,9.529854716179743,24631,Chur
CH - Clarens,Clarens,46.44039916992201,6.902880191803,5012,Montreux
CH - Cointrin,Cointrin,46.226589202881,6.1054801940918,578,Geneva
CH - Crans-Montana,Crans-Montana,46.31237411499,7.4812159538269,36692,Crans-Montana
CH - Dallenwil,Dallenwil,46.996376,8.378111,52113,Ennetbuergen
CH - Davos,Davos,46.80358010191129,9.835021528398784,24630,Davos
CH - Emmetten,Emmetten,46.95641,8.51551,51405,Nidwalden 
CH - Engelberg,Engelberg,46.82079826858957,8.403515361563542,51405,Nidwalden 
CH - Ennetbuergen,Ennetbuergen,46.995335,8.394691,52113,Ennetbuergen
CH - Evolene,Evolene,46.11417,7.49264,5014,Zermatt
CH - Feusisberg,Feusisberg,47.16796875,8.7273664474487,577,Zurich
CH - Fribourg,Fribourg,46.80670982238775,7.161439973907475,26445,Fribourg
CH - Geneva,Geneva,46.22113025076479,6.127048785896483,578,Geneva
CH - Geneve,Geneve,46.220012664795,6.1031260490417,578,Geneva
CH - Glarus Nord,Glarus Nord,47.122611999512,9.1271171569824,50933,Vaduz
CH - Glattfelden,Glattfelden,47.569874,8.480543,577,Zurich
CH - Goldach,Goldach,47.47333618,9.48274644,51204,Bregenz
CH - Granges-Paccot,Granges-Paccot,46.823799133301,7.150643825531,26445,Fribourg
CH - Grindelwald,Grindelwald,46.62466576757412,8.036077860211238,34153,Grindelwald
CH - Gruyeres,Gruyeres,46.583568526123,7.08122802067565,51407,La Gruyere
CH - Hasliberg,Hasliberg,46.74647019333333,8.152015493333332,69,Switzerland
